district,division,n,n_clusters,prevalence,ci_low,ci_high,se,deff,unweighted,ci_width,reliability,reliability_label
narayanganj,dhaka,133,8,33.57769482126827,25.571000654048298,41.08967300159012,4.011305203708395,0.9595292839366385,32.33082706766917,15.518672347541823,1,Moderate
dinajpur,rangpur,329,16,33.27585145559616,27.14303272228037,39.20967949796893,3.1757608602277143,1.4944426875995103,34.650455927051674,12.066646775688557,1,Moderate
munshiganj,dhaka,72,4,25.89844094145624,13.992831025879063,31.52772919670868,4.311275078265625,0.6973374631400518,25.0,17.534898170829617,1,Moderate
maulvibazar,sylhet,288,12,25.647800120938246,17.653000916853358,33.94373477950385,4.379910044779627,2.8972030027049764,26.041666666666668,16.29073386265049,1,Moderate
dhaka,dhaka,692,42,24.97380969193295,20.675320161081302,29.527468647323218,2.320933094397351,1.9894528215374523,25.0,8.852148486241916,0,High
khulna,khulna,364,18,23.739448948584084,17.874671587981492,31.370244239591372,3.505935273506449,2.471374712769703,28.846153846153843,13.49557265160988,1,Moderate
gazipur,dhaka,173,10,23.212101093115304,16.609766524249675,31.369914617519928,3.918053011555532,1.4899767129276371,23.121387283236995,14.760148093270253,1,Moderate
chattogram,chattogram,634,30,22.92891439171232,17.151329303918324,29.359729564150573,3.0176419909547305,3.2670043851141215,23.501577287066247,12.20840026023225,1,Moderate
feni,chattogram,100,5,22.67724713151534,16.112377615326626,29.31667560879457,3.441332179464609,0.675391437810855,23.0,13.204297993467943,1,Moderate
brahmanbaria,chattogram,135,7,22.0944031958867,16.523825026944703,26.701478980445486,2.613236322565445,0.5355995538338217,21.48148148148148,10.177653953500784,1,Moderate
rajshahi,rajshahi,407,20,20.26648563174693,16.225761969326243,26.12926867809256,2.5645951224412094,1.6565810205321376,27.27272727272727,9.903506708766319,1,Moderate
patuakhali,barishal,225,10,19.002153629552918,11.772823382699183,27.285099698736026,4.183993681318281,2.559105919664685,19.11111111111111,15.512276316036843,1,Moderate
jashore,khulna,285,13,18.927871115325512,12.707134112645265,26.15768079468924,3.4390980682763956,2.196648827685868,20.350877192982455,13.450546682043976,1,Moderate
lakshmipur,chattogram,123,6,17.83079598005008,10.155524157021778,26.136303919748855,4.286586893373247,1.5425830824009377,17.073170731707318,15.980779762727076,1,Moderate
rajbari,dhaka,90,4,17.811068987210156,6.765027698333741,26.95371481877457,5.050541984191246,1.5682495194452089,16.666666666666664,20.188687120440832,2,Low
jamalpur,mymensingh,324,16,17.61594283185094,11.624081861134396,24.132140376600255,3.0428240838779357,2.06704357576847,17.901234567901234,12.508058515465859,1,Moderate
chapai nawabganj,rajshahi,146,7,17.473451698028338,9.208543723956895,27.527301370559126,4.657360281462606,2.1961406023590397,20.54794520547945,18.31875764660223,2,Low
meherpur,khulna,72,3,16.669134689498037,14.814814814814813,20.0,1.2314579926526847,0.07860546709325408,16.666666666666664,5.185185185185187,0,High
chandpur,chattogram,170,8,16.52670998841096,9.399698258437265,21.94573755010384,3.282110723698164,1.3274599905215598,16.470588235294116,12.546039291666574,1,Moderate
gopalganj,dhaka,58,3,16.522877991986004,10.0,26.08695652173913,3.982975934705884,0.6670988541064384,17.24137931034483,16.08695652173913,1,Moderate
joypurhat,rajshahi,78,4,16.480841561014042,11.296731452618602,22.232635742448814,2.889063688579107,0.4729806137186626,16.666666666666664,10.935904289830212,1,Moderate
shariatpur,dhaka,63,3,16.360096325042374,12.5,18.962797843331227,1.9057629764245736,0.1672164273269867,15.873015873015872,6.462797843331227,0,High
manikganj,dhaka,67,4,16.097358123095933,12.159624630802146,20.138625432010222,2.239808772531916,0.24886650192286955,16.417910447761194,7.979000801208077,0,High
cox's bazar,chattogram,115,5,16.00852470214027,6.956782408750982,22.72267832939089,4.141645871580976,1.467091647130797,14.782608695652174,15.76589592063991,1,Moderate
faridpur,dhaka,79,4,15.176794040670016,5.971119719838149,26.579506110053057,5.696539468797252,1.9913820556378556,15.18987341772152,20.608386390214907,2,Low
cumilla,chattogram,326,15,15.14931676850482,11.235030955623424,19.57664760891885,2.1054014027817307,1.1241882083071628,15.030674846625766,8.341616653295427,0,High
rangpur,rangpur,413,20,14.909420867163265,11.095773747826982,18.177121282721576,1.8151630349806978,1.0726031679894776,14.527845036319611,7.081347534894594,0,High
chuadanga,khulna,136,6,14.838626042020724,9.09727342784836,23.72932819005097,4.0212439305705825,1.7402970965197093,15.441176470588236,14.63205476220261,1,Moderate
barishal,barishal,557,26,14.744686507976512,11.21679530140216,18.873257567382915,1.9459455585795993,1.6778748641049048,15.260323159784562,7.656462265980755,0,High
barguna,barishal,129,7,14.531646598941435,10.276839564724789,18.522963012733282,2.1202363228623775,0.46691527973693725,14.728682170542637,8.246123448008493,0,High
noakhali,chattogram,174,8,14.436586921495238,9.427211155451602,19.599677175522203,2.7105677181268297,1.0349446924718309,13.793103448275861,10.172466020070601,1,Moderate
sylhet,sylhet,732,28,14.04115236291715,10.918450020292566,17.942392131517803,1.8753519545697876,2.1329629672897212,15.027322404371585,7.023942111225237,0,High
madaripur,dhaka,69,3,13.697881979006384,10.526315789473683,18.181818181818183,2.3067488789024657,0.31058097778218874,13.043478260869565,7.6555023923445,0,High
lalmonirhat,rangpur,117,5,13.593424633496126,2.8933151938478527,24.44712301684867,5.862324964103048,3.4233394362908562,15.384615384615385,21.553807823000817,2,Low
panchagarh,rangpur,108,5,13.192535826834966,5.274033962419679,18.620518330315942,3.3560934159176874,1.0622004597227697,13.88888888888889,13.346484367896263,1,Moderate
sunamganj,sylhet,347,15,13.183996303507142,8.775407810859734,17.927987818543397,2.4004807566240483,1.7469443450601991,13.256484149855908,9.152580007683662,0,High
habiganj,sylhet,365,15,13.178390412649533,9.344561595361998,17.916431958488445,2.2768239647748327,1.6537184431180256,14.520547945205479,8.571870363126447,0,High
bagerhat,khulna,149,8,13.11819673534767,8.436561466986301,18.075147666084156,2.5214478665857136,0.831157424346797,13.422818791946309,9.638586199097855,1,Moderate
bogura,rajshahi,323,16,13.064585542680865,7.94563203316284,18.726482136006315,2.818116342568047,2.2585410762122233,14.241486068111456,10.780850102843473,1,Moderate
tangail,dhaka,187,9,12.12347259290209,7.011638276737268,16.971543131752867,2.587866969981818,1.1755079751893083,11.76470588235294,9.959904855015598,1,Moderate
bhola,barishal,303,13,11.835262291364662,7.517759251442338,16.29009162424154,2.2266322613916496,1.439682799464733,11.221122112211221,8.772332372799202,0,High
jhalokati,barishal,117,6,11.079462962859857,6.9675811830278835,15.01694458796726,2.176180555058748,0.5624124494279941,11.965811965811966,8.049363404939376,0,High
naogaon,rajshahi,235,11,10.956977875660817,6.5858100801758095,14.875116247543744,2.1394286419838826,1.1024852743451767,11.48936170212766,8.289306167367934,0,High
khagrachhari,chattogram,65,3,10.932961415848789,5.0,14.814814814814813,2.0149310138470744,0.27100599106555934,10.76923076923077,9.814814814814813,0,High
kurigram,rangpur,256,12,10.744567978643577,7.126001809607308,14.99592965525935,1.9570042487449761,1.0223506749062856,12.5,7.869927845652041,0,High
magura,khulna,112,5,10.711779938079193,5.600228152926754,16.50894088838299,2.8945861410602913,0.9811494664882356,10.714285714285714,10.908712735456238,1,Moderate
sherpur,mymensingh,185,9,10.50420566180675,7.208965678438855,14.21710013704764,1.8672870954944334,0.6861642339764319,10.27027027027027,7.008134458608784,0,High
kushtia,khulna,204,10,9.887800567835207,5.531468722030415,15.926264471171155,2.7252844360950172,1.7004761736085787,10.784313725490197,10.39479574914074,1,Moderate
pirojpur,barishal,185,9,9.56675879146307,5.799909778589902,13.915922353018207,2.0706875230749024,0.9168703760429285,10.27027027027027,8.116012574428304,0,High
gaibandha,rangpur,239,12,9.335858635035365,6.431531854306166,12.1770891308069,1.5839116042016401,0.7083859881432734,9.623430962343097,5.745557276500734,0,High
satkhira,khulna,212,10,8.996843763427398,5.764875660377506,12.644415841648316,1.8373101013643423,0.8740859764833575,8.962264150943396,6.8795401812708095,0,High
mymensingh,mymensingh,797,35,8.92741111701139,6.813062743214385,11.461069894632852,1.1946891114919143,1.3991198403469252,9.912170639899625,4.648007151418467,0,High
rangamati,chattogram,100,5,8.718120952518797,3.453339468413085,13.055821664518398,2.424572213202262,0.738690962621133,8.0,9.602482196105314,0,High
jhenaidah,khulna,223,10,8.476245805723625,4.470529408965394,12.629087485468157,2.106140411153957,1.2750938081278547,8.968609865470851,8.158558076502763,0,High
narail,khulna,65,3,7.923510797787479,0.0,12.5,2.938900946911436,0.769514572317622,7.6923076923076925,12.5,1,Moderate
netrakona,mymensingh,317,15,7.878932830708715,4.200225698912629,12.46867324689072,2.170221856497126,2.057032577642904,8.201892744479496,8.268447547978091,0,High
bandarban,chattogram,40,2,7.714491193330943,5.263157894736842,9.523809523809524,1.533702272357741,0.13216039098381155,7.5,4.260651629072682,0,High
kishoreganj,dhaka,148,7,7.237994901210584,3.255543562342652,11.577503874387597,2.242152627055658,1.1081630363149388,7.4324324324324325,8.321960312044945,0,High
thakurgaon,rangpur,123,6,6.884004262771519,2.0876821027617245,13.977358493327174,3.0685822014890323,1.8068213450366384,8.94308943089431,11.889676390565448,1,Moderate
nilphamari,rangpur,183,8,6.848119068525177,2.6883300642997026,11.745240235945237,2.5414997690202923,1.8529696559007922,6.557377049180328,9.056910171645535,1,Moderate
narsingdi,dhaka,81,4,6.358671457062847,1.0531263121213659,12.281884869082681,2.776487112890621,1.0486785624594497,6.172839506172839,11.228758556961315,1,Moderate
sirajganj,rajshahi,268,14,6.277706958147452,4.000280365461429,8.576309468978616,1.2373397653373899,0.697378879046227,6.7164179104477615,4.576029103517187,0,High
pabna,rajshahi,214,10,5.270287844877834,1.9532264919479094,8.815239179065035,1.7406399223257707,1.2987067573321889,5.607476635514018,6.862012687117126,0,High
natore,rajshahi,141,7,4.806286278951028,1.9573846000889665,7.720415126272688,1.4479522685572874,0.6461148142250631,4.964539007092199,5.763030526183722,0,High
